name,model_year,color,fuel,origin,bi_license,gear_type,bi_glass,engine_power,speedometer,passenger_seat_no,bi_payment_option,status,previous_owner,bi_condition,bi_lock_system,bi_alert,bi_radio,bi_sunroof,bi_wheels,bi_seat_type,bi_cushion,price
فولكسفاجن بولو,2007,فضي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400,200000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,لا يوجد,لا يوجد,وسادة حماية هوائية,47000
اوبل كورسا,2015,رمادي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400,39000.0,5,نقدا فقط ,للبيع فقط ,1,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,لا يوجد,وسادة حماية هوائية,54000
هونداي الانترا,2007,زيتي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,39000.0,5,نقدا فقط ,للبيع فقط ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,37000
بيجو 205,1988,فضي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400,0.0,5,نقدا فقط ,للبيع أو التبديل ,0,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,فتحة سقف,جنطات مغنيسيوم,لا يوجد,لا يوجد,25000
كيا سورينتو,2007,أسود ميتالك ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2500,0.0,7,نقدا فقط ,للبيع أو التبديل ,4,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,60000
كيا ريو,2013,أبيض ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,1400,0.0,5,إمكانية التقسيط ,للبيع فقط ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,لا يوجد,فرش جلد,وسادة حماية هوائية,45000
سكودا اوكتافيا,2012,رمادي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,120000.0,5,نقدا فقط ,للبيع أو التبديل ,1,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,80000
هونداي i30,2014,خمري ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,46000.0,5,نقدا فقط ,للبيع فقط ,1,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,75000
كيا برايد,2007,خمري ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,46000.0,5,نقدا فقط ,للبيع فقط ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,34000
كيا سورينتو,2015,فضي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,60000.0,7,إمكانية التقسيط ,للبيع أو التبديل ,3,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,فتحة سقف,جنطات مغنيسيوم,لا يوجد,وسادة حماية هوائية,160000
اوبل زافيرا,2003,كحلي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1900,60000.0,7,نقدا فقط ,للبيع فقط ,2,مُكيّف,إغلاق مركزي,لا يوجد,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,40000
هونداي سانتافيه,2016,أبيض ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,17000.0,7,إمكانية التقسيط ,للبيع أو التبديل ,1,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,140000
فولفو FL 7,2013,أبيض ,ديزل ,تجاري ,نمرة صفراء ,اوتوماتيك ,الكتروني ,460,17000.0,2,نقدا فقط ,للبيع فقط ,0,مُكيّف,لا يوجد,جهاز إنذار,مسجل CD,لا يوجد,لا يوجد,لا يوجد,لا يوجد,210000
هونداي توسان,2014,فيراني ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,43000.0,5,نقدا فقط ,للبيع أو التبديل ,1,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,109000
مرسيدس 914,1996,أبيض عاجي ,ديزل ,تجاري ,فلسطينية ,عادي ,الكتروني ,2000,750000.0,3,نقدا فقط ,للبيع أو التبديل ,2,لا يوجد,لا يوجد,لا يوجد,مسجل CD,لا يوجد,لا يوجد,فرش جلد,لا يوجد,40000
نيسان تيدا,2012,رمادي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,750000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,0,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,لا يوجد,لا يوجد,وسادة حماية هوائية,55000
بي ام دبليو 318,1996,أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,يدوي ,1800,750000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,2,مُكيّف,لا يوجد,لا يوجد,مسجل CD,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,43000
سكودا يتي,2017,رمادي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,40000.0,5,نقدا فقط ,للبيع أو التبديل ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,لا يوجد,وسادة حماية هوائية,112000
هونداي سوناتا,2009,أزرق ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,22000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,3,مُكيّف,إغلاق مركزي,لا يوجد,مسجل CD,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,40000
سكودا اوكتافيا,2013,أبيض ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,130000.0,5,إمكانية التقسيط ,للبيع فقط ,1,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,لا يوجد,وسادة حماية هوائية,90000
بيجو بارتنر,2008,أبيض عاجي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,450000.0,5,نقدا فقط ,للبيع فقط ,1,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,لا يوجد,لا يوجد,وسادة حماية هوائية,45000
مرسيدس غواصة S320,2002,كحلي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,3200,300000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,3,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,83000
شفروليه Vandora,1989,رمادي ,بنزين ,تجاري ,فلسطينية ,اوتوماتيك ,يدوي ,4000,300000.0,5,نقدا فقط ,للبيع أو التبديل ,2,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,27000
كيا سول,2017,بترولي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,300000.0,5,نقدا فقط ,للبيع فقط ,0,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,94000
ستروين بيكاسو C4,2013,بترولي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,300000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,1,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,85000
هونداي اكسنت,2016,رمادي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,300000.0,5,إمكانية التقسيط ,للبيع فقط ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,65000
فولكسفاجن جولف,2011,أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,124000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,لا يوجد,وسادة حماية هوائية,85000
فولكسفاجن بولو,2004,سكني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,124000.0,5,إمكانية التقسيط ,للبيع فقط ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,لا يوجد,وسادة حماية هوائية,40500
بيجو 207,2011,أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,100000.0,5,نقدا فقط ,للبيع أو التبديل ,1,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,لا يوجد,فرش جلد,وسادة حماية هوائية,43000
هونداي كليك,2003,أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,100000.0,5,إمكانية التقسيط ,للبيع فقط ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,لا يوجد,لا يوجد,لا يوجد,لا يوجد,وسادة حماية هوائية,31500
دايو لانوس,1997,خمري ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1500,100000.0,5,نقدا فقط ,للبيع فقط ,2,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,جنطات مغنيسيوم,فرش جلد,لا يوجد,23000
بي ام دبليو 320,2004,أزرق ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2200,100000.0,5,نقدا فقط ,للبيع أو التبديل ,1,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,86000
هوندا سيفيك,2006,أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1800,172.0,5,نقدا فقط ,للبيع فقط ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,لا يوجد,وسادة حماية هوائية,43500
اوبل اسكونا,1982,أزرق سماوي ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1600,0.0,5,نقدا فقط ,للبيع فقط ,0,لا يوجد,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,لا يوجد,لا يوجد,لا يوجد,14000
سوبارو امبريزا,2005,أبيض ,بنزين ,تدريب سياقة ,فلسطينية ,عادي ,الكتروني ,1600,133.0,5,نقدا فقط ,للبيع فقط ,4,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,لا يوجد,وسادة حماية هوائية,45000
هوندا سيفيك,2008,أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1800,0.0,5,إمكانية التقسيط ,للبيع أو التبديل ,1,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,لا يوجد,53000
فورد ترانزيت,1992,أبيض عاجي ,ديزل ,عمومي ,فلسطينية ,عادي ,يدوي ,2500,0.0,8,نقدا فقط ,للبيع فقط ,6,لا يوجد,لا يوجد,لا يوجد,مسجل CD,لا يوجد,لا يوجد,لا يوجد,لا يوجد,15000
فولكسفاجن CC,2014,أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,95.0,5,إمكانية التقسيط ,للبيع أو التبديل ,0,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,125000
سوبارو عريض,1992,أبيض عاجي ,بنزين ,عمومي ,فلسطينية ,عادي ,يدوي ,1600,75000.0,5,نقدا فقط ,للبيع فقط ,7,لا يوجد,لا يوجد,لا يوجد,مسجل CD,لا يوجد,جنطات مغنيسيوم,لا يوجد,لا يوجد,18500
سكودا اوكتافيا,2015,أبيض ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,75000.0,5,إمكانية التقسيط ,للبيع فقط ,2,مُكيّف,لا يوجد,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,لا يوجد,لا يوجد,98000
فولكسفاجن كادي,2014,أبيض ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,75000.0,7,إمكانية التقسيط ,للبيع فقط ,1,مُكيّف,إغلاق مركزي,لا يوجد,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,95000
فيات باندا,2015,فضي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1250,75000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,2,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,48500
كيا سبورتاج,2016,سكني ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,98000.0,5,نقدا فقط ,للبيع أو التبديل ,0,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,98000
بيجو بارتنر,2016,بترولي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,72000.0,5,نقدا فقط ,للبيع فقط ,2,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,77000
اوبل استرا,2004,أسود ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,100000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,5,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,42000
مرسيدس 350,2011,أبيض عاجي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,3000,100000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,220000
سوبارو امبريزا,2001,أبيض ,بنزين ,خصوصي ,نمرة صفراء ,اوتوماتيك ,الكتروني ,1600,300.0,5,نقدا فقط ,للبيع أو التبديل ,1,مُكيّف,إغلاق مركزي,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,وسادة حماية هوائية,2500
بي ام دبليو 318,1997,كحلي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1800,300.0,5,نقدا فقط ,للبيع فقط ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,47000
كيا بيكانتو,2015,أحمر ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1000,25000.0,5,نقدا فقط ,للبيع فقط ,0,مُكيّف,إغلاق مركزي,لا يوجد,مسجل CD,لا يوجد,جنطات مغنيسيوم,لا يوجد,وسادة حماية هوائية,49000
فولكسفاجن جيتا,2008,فيراني ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1900,19000.0,5,نقدا فقط ,للبيع أو التبديل ,1,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,لا يوجد,وسادة حماية هوائية,62000
هوندا توسان,2007,أسود ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,150000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,2,مُكيّف,إغلاق مركزي,لا يوجد,مسجل CD,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,50000
كيا برايد,2015,سكني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,11467.0,5,نقدا فقط ,للبيع فقط ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,71000
هونداي i30,2008,أسود ميتالك ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,120000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,42000
فورد فيستا,2012,فضي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1200,35000.0,5,نقدا فقط ,للبيع أو التبديل ,1,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,لا يوجد,لا يوجد,وسادة حماية هوائية,43000
هونداي كليك,2006,فضي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,100000.0,5,نقدا فقط ,للبيع فقط ,1,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,فتحة سقف,جنطات مغنيسيوم,لا يوجد,وسادة حماية هوائية,40000
فولكسفاجن كادي,2000,أبيض ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1900,100000.0,5,نقدا فقط ,للبيع أو التبديل ,2,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,جنطات مغنيسيوم,لا يوجد,لا يوجد,30000
دايو ماتيز,2002,سكني ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,800,120.0,5,إمكانية التقسيط ,للبيع فقط ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,لا يوجد,فرش جلد,وسادة حماية هوائية,14000
اوبل استرا,2000,خمري ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,180000.0,5,نقدا فقط ,للبيع فقط ,3,مُكيّف,إغلاق مركزي,لا يوجد,مسجل CD,لا يوجد,جنطات مغنيسيوم,لا يوجد,لا يوجد,36500
هونداي افانتي,2006,أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,180000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,42000
كيا برايد,2007,فضي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,160.0,5,نقدا فقط ,للبيع فقط ,3,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,42000
كيا ريو,2010,أبيض عاجي ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,1500,160.0,5,نقدا فقط ,للبيع فقط ,3,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,لا يوجد,وسادة حماية هوائية,33000
اودي A4,1997,رصاصي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1800,160.0,5,نقدا فقط ,للبيع أو التبديل ,2,لا يوجد,إغلاق مركزي,جهاز إنذار,مسجل CD,فتحة سقف,جنطات مغنيسيوم,لا يوجد,وسادة حماية هوائية,34500
كيا سيراتو,2017,فيراني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,44000.0,5,إمكانية التقسيط ,للبيع فقط ,1,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,فتحة سقف,جنطات مغنيسيوم,لا يوجد,وسادة حماية هوائية,90000
اوبل استرا,2014,سكني ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,100000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,1,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,62000
فولكسفاجن كبينة,1983,أبيض عاجي ,ديزل ,خصوصي ,فلسطينية ,عادي ,يدوي ,1900,75000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,4,لا يوجد,لا يوجد,لا يوجد,مسجل CD,لا يوجد,لا يوجد,فرش جلد,لا يوجد,75000
مرسيدس 250,1999,أبيض عاجي ,ديزل ,عمومي ,فلسطينية ,اوتوماتيك ,الكتروني ,2500,44000.0,5,إمكانية التقسيط ,للبيع فقط ,3,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,33000
مرسيدس e270,2002,كحلي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2700,44000.0,5,نقدا فقط ,للبيع أو التبديل ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,65000
سكودا اوكتافيا,2016,أبيض عاجي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,50000.0,5,نقدا فقط ,للبيع أو التبديل ,0,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,لا يوجد,وسادة حماية هوائية,95000
هونداي فيرنا,2007,أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,50000.0,5,نقدا فقط ,للبيع أو التبديل ,3,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,42999
اوبل كورسا,2012,كرميدي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400,100000.0,5,نقدا فقط ,للبيع فقط ,2,مُكيّف,إغلاق مركزي,لا يوجد,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,55000
هونداي اكسنت,2007,أزرق سماوي ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1400,123.0,5,إمكانية التقسيط ,للبيع فقط ,4,مُكيّف,لا يوجد,لا يوجد,مسجل CD,لا يوجد,لا يوجد,لا يوجد,لا يوجد,40000
فولكسفاجن كرافيل,1998,أبيض عاجي ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,2500,556677.0,8,إمكانية التقسيط ,للبيع أو التبديل ,10,لا يوجد,لا يوجد,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,لا يوجد,45000
بي ام دبليو 316,1987,أبيض ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1600,0.0,5,إمكانية التقسيط ,للتبديل فقط ,5,لا يوجد,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,25000
مرسيدس باص 519,2012,أبيض ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,2996,33360.0,2,نقدا فقط ,للبيع فقط ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,فتحة سقف,جنطات مغنيسيوم,فرش جلد,لا يوجد,16800
سيت ابيزا,2011,أحمر ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400,33360.0,5,نقدا فقط ,للبيع فقط ,2,مُكيّف,إغلاق مركزي,لا يوجد,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,50000
مرسيدس 280,1983,أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2800,33360.0,5,نقدا فقط ,للبيع فقط ,2,مُكيّف,لا يوجد,جهاز إنذار,مسجل CD,فتحة سقف,جنطات مغنيسيوم,فرش جلد,لا يوجد,25000
فولكسفاجن كادي,2015,أسود ميتالك ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,33360.0,7,إمكانية التقسيط ,للبيع أو التبديل ,0,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,لا يوجد,لا يوجد,وسادة حماية هوائية,107000
اودي Q5,2013,أسود ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,33360.0,5,إمكانية التقسيط ,للبيع فقط ,1,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,160000
ميتسوبيشي باجيرو,2008,ذهبي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,3200,33360.0,5,نقدا فقط ,للبيع فقط ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,128000
هونداي الانترا,2005,أبيض ,بنزين ,عمومي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,32000.0,5,نقدا فقط ,للبيع فقط ,0,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,فتحة سقف,لا يوجد,لا يوجد,وسادة حماية هوائية,32000
بيجو 205,1999,أبيض ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400,0.0,5,نقدا فقط ,للبيع فقط ,7,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,فتحة سقف,جنطات مغنيسيوم,لا يوجد,وسادة حماية هوائية,23000
فورد فوكس,2014,فضي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,2000,0.0,4,إمكانية التقسيط ,للبيع أو التبديل ,1,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,100000
ميتسوبيشي لانسر,2000,أحمر ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,10000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,35000
فولكسفاجن كادي,2008,سكني ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1900,216560.0,5,إمكانية التقسيط ,للبيع فقط ,2,مُكيّف,إغلاق مركزي,لا يوجد,مسجل CD,لا يوجد,لا يوجد,فرش جلد,لا يوجد,78000
فولكسفاجن جولف,2000,فضي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,216560.0,5,نقدا فقط ,للبيع فقط ,0,لا يوجد,لا يوجد,لا يوجد,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,لا يوجد,42000
سكودا اوكتافيا,2000,أبيض ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,1900,216560.0,5,نقدا فقط ,للبيع فقط ,2,مُكيّف,إغلاق مركزي,لا يوجد,مسجل CD,لا يوجد,جنطات مغنيسيوم,لا يوجد,وسادة حماية هوائية,43000
ستروين بيرلينجو,2008,أبيض ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,216560.0,5,نقدا فقط ,للبيع فقط ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,لا يوجد,فرش جلد,وسادة حماية هوائية,58000
